# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9865732344
0.0200100050,0.9471805138
0.0300150075,0.8844195859
0.0400200100,0.8023010578
0.0500250125,0.7057870347
0.0600300150,0.6002603598
0.0700350175,0.4910096427
0.0800400200,0.3828019152
0.0900450225,0.2795880672
0.1000500250,0.1843545319
0.1100550275,0.0991065527
0.1200600300,0.0249497190
0.1300650325,-0.0377707418
0.1400700350,-0.0893106718
0.1500750375,-0.1303761860
0.1600800400,-0.1619981558
0.1700850425,-0.1854377340
0.1800900450,-0.2021203593
0.1900950475,-0.2135907331
0.2001000500,-0.2214796493
0.2101050525,-0.2274742451
0.2201100550,-0.2332863516
0.2301150575,-0.2406125431
0.2401200600,-0.2510919392
0.2501250625,-0.2662531443
0.2601300650,-0.2874555598
0.2701350675,-0.3158223452
0.2801400700,-0.3521631378
0.2901450725,-0.3968851569
0.3001500750,-0.4498935261
0.3101550775,-0.5104865517
0.3201600800,-0.5772585476
0.3301650825,-0.6480303859
0.3401700850,-0.7198339753
0.3501750875,-0.7889784768
0.3601800900,-0.8512206405
0.3701850925,-0.9020478447
0.3801900950,-0.9370612587
0.3901950975,-0.9524218246
0.4002001001,-0.9452995138
0.4102051026,-0.9142533779
0.4202101051,-0.8594717509
0.4302151076,-0.7828206105
0.4402201101,-0.6876810559
0.4502251126,-0.5785969797
0.4602301151,-0.4607911820
0.4702351176,-0.3396322577
0.4802401201,-0.2201390033
0.4902451226,-0.1065934127
0.5002501251,-0.0023034668
0.5102551276,0.0904775194
0.5202601301,0.1704979954
0.5302651326,0.2373627483
0.5402701351,0.2913417611
0.5502751376,0.3331747288
0.5602801401,0.3639008806
0.5702851426,0.3847302496
0.5802901451,0.3969600408
0.5902951476,0.4019304158
0.6003001501,0.4010085520
0.6103051526,0.3955878953
0.6203101551,0.3870904420
0.6303151576,0.3769629235
0.6403201601,0.3666621338
0.6503251626,0.3576250656
0.6603301651,0.3512319806
0.6703351676,0.3487575782
0.6803401701,0.3513182393
0.6903451726,0.3598157375
0.7003501751,0.3748780719
0.7103551776,0.3967972249
0.7203601801,0.4254643830
0.7303651826,0.4603057999
0.7403701851,0.5002268355
0.7503751876,0.5435767575
0.7603801901,0.5881514875
0.7703851926,0.6312526324
0.7803901951,0.6698181017
0.7903951976,0.7006301598
0.8004002001,0.7205917615
0.8104052026,0.7270438919
0.8204102051,0.7180800183
0.8304152076,0.6928043033
0.8404202101,0.6514828268
0.8504252126,0.5955528350
0.8604302151,0.5274821276
0.8704352176,0.4505008473
0.8804402201,0.3682534015
0.8904452226,0.2844311057
0.9004502251,0.2024443366
0.9104552276,0.1251774079
0.9204602301,0.0548471151
0.9304652326,-0.0070366864
0.9404702351,-0.0596277798
0.9504752376,-0.1026462765
0.9604802401,-0.1362571464
0.9704852426,-0.1609499833
0.9804902451,-0.1774371061
0.9904952476,-0.1865784001
1.0005002501,-0.1893333412
1.0105052526,-0.1867352722
1.0205102551,-0.1798799929
1.0305152576,-0.1699201659
1.0405202601,-0.1580584070
1.0505252626,-0.1455345681
1.0605302651,-0.1336058517
1.0705352676,-0.1235191693
1.0805402701,-0.1164813347
1.0905452726,-0.1136260302
1.1005502751,-0.1159804245
1.1105552776,-0.1244301750
1.1205602801,-0.1396799527
1.1305652826,-0.1622057174
1.1405702851,-0.1921958050
1.1505752876,-0.2294809702
1.1605802901,-0.2734584842
1.1705852926,-0.3230220694
1.1805902951,-0.3765157905
1.1905952976,-0.4317335677
1.2006003002,-0.4859851976
1.2106053027,-0.5362420691
1.2206103052,-0.5793616988
1.2306153077,-0.6123719227
1.2406203102,-0.6327779182
1.2506253127,-0.6388436804
1.2606303152,-0.6297990065
1.2706353177,-0.6059341432
1.2806403202,-0.5685649417
1.2906453227,-0.5198757211
1.3006503252,-0.4626693046
1.3106553277,-0.4000681125
1.3206603302,-0.3352140842
1.3306653327,-0.2710097263
1.3406703352,-0.2099284713
1.3506753377,-0.1539060045
1.3606803402,-0.1043082005
1.3706853427,-0.0619595679
1.3806903452,-0.0272104774
1.3906953477,-0.0000214640
1.4007003502,0.0199528043
1.4107053527,0.0332910072
1.4207103552,0.0407487479
1.4307153577,0.0432174093
1.4407203602,0.0416942903
1.4507253627,0.0372588054
1.4607303652,0.0310501084
1.4707353677,0.0242432630
1.4807403702,0.0180232653
1.4907453727,0.0135568435
1.5007503752,0.0119655370
1.5107553777,0.0142989698
1.5207603802,0.0215090843
1.5307653827,0.0344227407
1.5407703852,0.0537088203
1.5507753877,0.0798354652
1.5607803902,0.1130142958
1.5707853927,0.1531318301
1.5807903952,0.1996734728
1.5907953977,0.2516515627
1.6008004002,0.3075550161
1.6108054027,0.3653414715
1.6208104052,0.4224917934
1.6308154077,0.4761399233
1.6408204102,0.5232782623
1.6508254127,0.5610221615
1.6608304152,0.5869007830
1.6708354177,0.5991303422
1.6808404202,0.5968234265
1.6908454227,0.5800965672
1.7008504252,0.5500559479
1.7108554277,0.5086638445
1.7208604302,0.4585104701
1.7308654327,0.4025317984
1.7408704352,0.3437200021
1.7508754377,0.2848688338
1.7608804402,0.2283835637
1.7708854427,0.1761684220
1.7808904452,0.1295883907
1.7908954477,0.0894904580
1.8009004502,0.0562636007
1.8109054527,0.0299166991
1.8209104552,0.0101575255
1.8309154577,-0.0035378631
1.8409204602,-0.0118700009
1.8509254627,-0.0156748316
1.8609304652,-0.0158930274
1.8709354677,-0.0135453673
1.8809404702,-0.0097101958
1.8909454727,-0.0055004876
1.9009504752,-0.0020398883
1.9109554777,-0.0004374550
1.9209604802,-0.0017638440
1.9309654827,-0.0070273333
1.9409704852,-0.0171495052
1.9509754877,-0.0329374752
1.9609804902,-0.0550484560
1.9709854927,-0.0839423141
1.9809904952,-0.1198193937
1.9909954977,-0.1625445821
2.0010005003,-0.2115642586
2.0110055028,-0.2658289930
2.0210105053,-0.3237411377
2.0310155078,-0.3831497447
2.0410205103,-0.4414138331
2.0510255128,-0.4955466388
2.0610305153,-0.5424395635
2.0710355178,-0.5791463268
2.0810405203,-0.6031903022
2.0910455228,-0.6128466663
2.1010505253,-0.6073500677
2.1110555278,-0.5869894354
2.1210605303,-0.5530721916
2.1310655328,-0.5077651654
2.1410705353,-0.4538424158
2.1510755378,-0.3943851669
2.1610805403,-0.3324830383
2.1710855428,-0.2709790875
2.1810905453,-0.2122863265
2.1910955478,-0.1582857689
2.2011005503,-0.1103000050
2.2111055528,-0.0691251267
2.2211105553,-0.0350990079
2.2311155578,-0.0081845793
2.2411205603,0.0119485800
2.2511255628,0.0258543660
2.2611305653,0.0342560293
2.2711355678,0.0380067151
2.2811405703,0.0380606971
2.2911455728,0.0354503602
2.3011505753,0.0312646386
2.3111555778,0.0266264256
2.3211605803,0.0226674775
2.3311655828,0.0205023470
2.3411705853,0.0212025123
2.3511755878,0.0257702430
2.3611805903,0.0351121493
2.3711855928,0.0500096864
2.3811905953,0.0710827967
2.3911955978,0.0987428863
2.4012006003,0.1331329941
2.4112056028,0.1740568114
2.4212106053,0.2209032622
2.4312156078,0.2725797732
2.4412206103,0.3274723690
2.4512256128,0.3834533374
2.4612306153,0.4379538807
2.4712356178,0.4881120904
2.4812406203,0.5309915638
2.4912456228,0.5638504859
2.5012506253,0.5844259780
2.5112556278,0.5911897344
2.5212606303,0.5835314641
2.5312656328,0.5618369816
2.5412706353,0.5274461983
2.5512756378,0.4824981164
2.5612806403,0.4296903830
2.5712856428,0.3719948704
2.5812906453,0.3123750440
2.5912956478,0.2535451104
2.6013006503,0.1977974458
2.6113056528,0.1469079237
2.6213106553,0.1021131802
2.6313156578,0.0641430688
2.6413206603,0.0332867295
2.6513256628,0.0094719109
2.6613306653,-0.0076581921
2.6713356678,-0.0186798373
2.6813406703,-0.0243385379
2.6913456728,-0.0255121605
2.7013506753,-0.0231831756
2.7113556778,-0.0184151923
2.7213606803,-0.0123299240
2.7313656828,-0.0060826218
2.7413706853,-0.0008355980
2.7513756878,0.0022692267
2.7613806903,0.0021362447
2.7713856928,-0.0022582899
2.7813906953,-0.0118407968
2.7913956978,-0.0274116869
2.8014007004,-0.0496090612
2.8114057029,-0.0788605653
2.8214107054,-0.1153210663
2.8314157079,-0.1587978833
2.8414207104,-0.2086709809
2.8514257129,-0.2638218795
2.8614307154,-0.3225903685
2.8714357179,-0.3827804057
2.8814407204,-0.4417339456
2.8914457229,-0.4964828168
2.9014507254,-0.5439747211
2.9114557279,-0.5813526030
2.9214607304,-0.6062510802
2.9314657329,-0.6170638898
2.9414707354,-0.6131362593
2.9514757379,-0.5948464037
2.9614807404,-0.5635600287
2.9714857429,-0.5214662091
2.9814907454,-0.4713246100
2.9914957479,-0.4161693338
3.0015007504,-0.3590179490
3.0115057529,-0.3026269102
3.0215107554,-0.2493192720
3.0315157579,-0.2008922857
3.0415207604,-0.1585971252
3.0515257629,-0.1231724015
3.0615307654,-0.0949097869
3.0715357679,-0.0737318242
3.0815407704,-0.0592670427
3.0915457729,-0.0509142244
3.1015507754,-0.0478934108
3.1115557779,-0.0492854875
3.1215607804,-0.0540642561
3.1315657829,-0.0611250682
3.1415707854,-0.0693128031
3.1515757879,-0.0774498251
3.1615807904,-0.0843640427
3.1715857929,-0.0889136389
