# Generated by QuTiP: 1000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0150150150,0.9670163805
0.0300300300,0.8724751840
0.0450450450,0.7289166078
0.0600600601,0.5542716883
0.0750750751,0.3679530537
0.0900900901,0.1871221967
0.1051051051,0.0242480058
0.1201201201,-0.1136008298
0.1351351351,-0.2240593178
0.1501501502,-0.3080992044
0.1651651652,-0.3686793833
0.1801801802,-0.4097901482
0.1951951952,-0.4359306347
0.2102102102,-0.4518953334
0.2252252252,-0.4626456148
0.2402402402,-0.4731149357
0.2552552553,-0.4878861301
0.2702702703,-0.5106934447
0.2852852853,-0.5439214201
0.3003003003,-0.5880176932
0.3153153153,-0.6410060924
0.3303303303,-0.6981805532
0.3453453453,-0.7521733033
0.3603603604,-0.7936032570
0.3753753754,-0.8124264352
0.3903903904,-0.7999197425
0.4054054054,-0.7509088985
0.4204204204,-0.6655588799
0.4354354354,-0.5499640027
0.4504504505,-0.4151010787
0.4654654655,-0.2743888761
0.4804804805,-0.1407582454
0.4954954955,-0.0243239995
0.5105105105,0.0687306696
0.5255255255,0.1360081994
0.5405405405,0.1779878612
0.5555555556,0.1969395743
0.5705705706,0.1960762560
0.5855855856,0.1790892201
0.6006006006,0.1500015589
0.6156156156,0.1131672417
0.6306306306,0.0732501033
0.6456456456,0.0350936352
0.6606606607,0.0034980674
0.6756756757,-0.0170371982
0.6906906907,-0.0225393366
0.7057057057,-0.0097821596
0.7207207207,0.0234236755
0.7357357357,0.0777622951
0.7507507508,0.1517533207
0.7657657658,0.2410906596
0.7807807808,0.3383877945
0.7957957958,0.4337235472
0.8108108108,0.5161608125
0.8258258258,0.5758649018
0.8408408408,0.6060884917
0.8558558559,0.6043688552
0.8708708709,0.5727087170
0.8858858859,0.5168828334
0.9009009009,0.4451295522
0.9159159159,0.3665103939
0.9309309309,0.2893175882
0.9459459459,0.2198924266
0.9609609610,0.1621037518
0.9759759760,0.1174257537
0.9909909910,0.0853784238
1.0060060060,0.0640764614
1.0210210210,0.0507241092
1.0360360360,0.0420074988
1.0510510511,0.0343976052
1.0660660661,0.0243882646
1.0810810811,0.0086863722
1.0960960961,-0.0156241898
1.1111111111,-0.0509190603
1.1261261261,-0.0987946970
1.1411411411,-0.1597031007
1.1561561562,-0.2324467684
1.1711711712,-0.3136362388
1.1861861862,-0.3973529029
1.2012012012,-0.4753407824
1.2162162162,-0.5379855828
1.2312312312,-0.5760348023
1.2462462462,-0.5826642675
1.2612612613,-0.5552141823
1.2762762763,-0.4959733819
1.2912912913,-0.4117224578
1.3063063063,-0.3121994113
1.3213213213,-0.2079928867
1.3363363363,-0.1085445555
1.3513513514,-0.0208120332
1.3663663664,0.0511749059
1.3813813814,0.1060085417
1.3963963964,0.1442023817
1.4114114114,0.1674644225
1.4264264264,0.1781622603
1.4414414414,0.1790317167
1.4564564565,0.1730564043
1.4714714715,0.1634077815
1.4864864865,0.1533581672
1.5015015015,0.1461313966
1.5165165165,0.1447009248
1.5315315315,0.1515585828
1.5465465465,0.1684608937
1.5615615616,0.1961392487
1.5765765766,0.2339703851
1.5915915916,0.2796613568
1.6066066066,0.3290910047
1.6216216216,0.3765072277
1.6366366366,0.4152327842
1.6516516517,0.4388167350
1.6666666667,0.4423754739
1.6816816817,0.4237056948
1.6966966967,0.3838209115
1.7117117117,0.3267511981
1.7267267267,0.2586613145
1.7417417417,0.1865550130
1.7567567568,0.1169281919
1.7717717718,0.0547814277
1.7867867868,0.0031890926
1.8018018018,-0.0366090738
1.8168168168,-0.0648129325
1.8318318318,-0.0826016696
1.8468468468,-0.0917701874
1.8618618619,-0.0945031973
1.8768768769,-0.0932506210
1.8918918919,-0.0906379539
1.9069069069,-0.0893619513
1.9219219219,-0.0920513385
1.9369369369,-0.1010924736
1.9519519520,-0.1184211454
1.9669669670,-0.1452676671
1.9819819820,-0.1818389507
1.9969969970,-0.2269546441
2.0120120120,-0.2777319521
2.0270270270,-0.3294980032
2.0420420420,-0.3761442960
2.0570570571,-0.4109928919
2.0720720721,-0.4280672249
2.0870870871,-0.4234083029
2.1021021021,-0.3960295979
2.1171171171,-0.3482243443
2.1321321321,-0.2851379681
2.1471471471,-0.2137088485
2.1621621622,-0.1412807074
2.1771771772,-0.0742673436
2.1921921922,-0.0172799212
2.2072072072,0.0271344607
2.2222222222,0.0582478867
2.2372372372,0.0766668993
2.2522522523,0.0838551686
2.2672672673,0.0817999613
2.2822822823,0.0728278072
2.2972972973,0.0595043847
2.3123123123,0.0445444563
2.3273273273,0.0306931474
2.3423423423,0.0205826684
2.3573573574,0.0165912512
2.3723723724,0.0207198303
2.3873873874,0.0344672878
2.4024024024,0.0586592011
2.4174174174,0.0931910475
2.4324324324,0.1367067243
2.4474474474,0.1863281697
2.4624624625,0.2376468056
2.4774774775,0.2851338397
2.4924924925,0.3230280766
2.5075075075,0.3464883022
2.5225225225,0.3526385935
2.5375375375,0.3411538032
2.5525525526,0.3142206245
2.5675675676,0.2759322487
2.5825825826,0.2313478862
2.5975975976,0.1854772108
2.6126126126,0.1424750735
2.6276276276,0.1051950735
2.6426426426,0.0751089911
2.6576576577,0.0524808744
2.6726726727,0.0366508774
2.6876876877,0.0263145537
2.7027027027,0.0197504429
2.7177177177,0.0149932793
2.7327327327,0.0099706783
2.7477477477,0.0026185021
2.7627627628,-0.0090143072
2.7777777778,-0.0266575787
2.7927927928,-0.0516810550
2.8078078078,-0.0848881733
2.8228228228,-0.1262185338
2.8378378378,-0.1743841604
2.8528528529,-0.2265506458
2.8678678679,-0.2782494852
2.8828828829,-0.3237181736
2.8978978979,-0.3567544148
2.9129129129,-0.3719343452
2.9279279279,-0.3658726240
2.9429429429,-0.3381144555
2.9579579580,-0.2913606010
2.9729729730,-0.2309283278
2.9879879880,-0.1636023528
3.0030030030,-0.0962206782
3.0180180180,-0.0344610555
3.0330330330,0.0178437685
3.0480480480,0.0587855964
3.0630630631,0.0880315501
3.0780780781,0.1063164612
3.0930930931,0.1150008692
3.1081081081,0.1157912161
3.1231231231,0.1106107191
3.1381381381,0.1015491220
3.1531531532,0.0908178744
3.1681681682,0.0806690444
3.1831831832,0.0732764256
3.1981981982,0.0705997176
3.2132132132,0.0742481503
3.2282282282,0.0853373652
3.2432432432,0.1043161185
3.2582582583,0.1307496518
3.2732732733,0.1630961263
3.2882882883,0.1985813839
3.3033033033,0.2333319754
3.3183183183,0.2628497557
3.3333333333,0.2828129666
3.3483483483,0.2899817152
3.3633633634,0.2829115587
3.3783783784,0.2622447129
3.3933933934,0.2305107905
3.4084084084,0.1915232130
3.4234234234,0.1495735369
3.4384384384,0.1086306029
3.4534534535,0.0717709839
3.4684684685,0.0409259730
3.4834834835,0.0169169786
3.4984984985,-0.0003411620
3.5135135135,-0.0115934979
3.5285285285,-0.0180369885
3.5435435435,-0.0211720877
3.5585585586,-0.0226968063
3.5735735736,-0.0244164056
3.5885885886,-0.0281512348
3.6036036036,-0.0356346969
3.6186186186,-0.0483950629
3.6336336336,-0.0676079677
3.6486486486,-0.0938984945
3.6636636637,-0.1270817122
3.6786786787,-0.1658765280
3.6936936937,-0.2076883255
3.7087087087,-0.2486276645
3.7237237237,-0.2838793901
3.7387387387,-0.3084652896
3.7537537538,-0.3182406712
3.7687687688,-0.3108458780
3.7837837838,-0.2863212510
3.7987987988,-0.2471919121
3.8138138138,-0.1979707769
3.8288288288,-0.1442040876
3.8438438438,-0.0913621159
3.8588588589,-0.0438998625
3.8738738739,-0.0047652170
3.8888888889,0.0246271704
3.9039039039,0.0441072817
3.9189189189,0.0543653931
3.9339339339,0.0566299225
3.9489489489,0.0524672664
3.9639639640,0.0436791474
3.9789789790,0.0322387344
3.9939939940,0.0202181535
4.0090090090,0.0096920116
4.0240240240,0.0026305581
4.0390390390,0.0008036900
4.0540540541,0.0056981201
4.0690690691,0.0184207329
4.0840840841,0.0395457420
4.0990990991,0.0688805765
4.1141141141,0.1051859997
4.1291291291,0.1459684513
4.1441441441,0.1875260946
4.1591591592,0.2253561069
4.1741741742,0.2549312121
4.1891891892,0.2726276229
4.2042042042,0.2764988525
4.2192192192,0.2666448858
4.2342342342,0.2450877658
4.2492492492,0.2152284750
4.2642642643,0.1810754066
4.2792792793,0.1464573475
4.2942942943,0.1144382844
4.3093093093,0.0870262340
4.3243243243,0.0651588108
4.3393393393,0.0488630932
4.3543543544,0.0374793846
4.3693693694,0.0298724483
4.3843843844,0.0246025338
4.3993993994,0.0200588123
4.4144144144,0.0145663535
4.4294294294,0.0064765603
4.4444444444,-0.0057487462
4.4594594595,-0.0234427966
4.4744744745,-0.0476006784
4.4894894895,-0.0786775384
4.5045045045,-0.1163088551
4.5195195195,-0.1589997172
4.5345345345,-0.2039024707
4.5495495495,-0.2468493110
4.5645645646,-0.2827882778
4.5795795796,-0.3066162519
4.5945945946,-0.3142487252
4.6096096096,-0.3036089199
4.6246246246,-0.2752183200
4.6396396396,-0.2321797225
4.6546546547,-0.1795267341
4.6696696697,-0.1231355437
4.6846846847,-0.0685397291
4.6996996997,-0.0200384637
4.7147147147,0.0196959623
4.7297297297,0.0495346068
4.7447447447,0.0695315310
4.7597597598,0.0805104805
4.7747747748,0.0837486628
4.7897897898,0.0807972743
4.8048048048,0.0734026073
4.8198198198,0.0634626161
4.8348348348,0.0529682538
4.8498498498,0.0439127331
4.8648648649,0.0381813261
4.8798798799,0.0374416917
4.8948948949,0.0430388521
4.9099099099,0.0558748077
4.9249249249,0.0762422736
4.9399399399,0.1036063898
4.9549549550,0.1363831599
4.9699699700,0.1718350949
4.9849849850,0.2062377385
5.0000000000,0.2353747249
5.0150150150,0.2553178345
5.0300300300,0.2632570462
5.0450450450,0.2581085401
5.0600600601,0.2407099301
5.0750750751,0.2135624138
5.0900900901,0.1802332492
5.1051051051,0.1445882522
5.1201201201,0.1100938629
5.1351351351,0.0793509271
5.1501501502,0.0539189839
5.1651651652,0.0343784065
5.1801801802,0.0205191157
5.1951951952,0.0115519425
5.2102102102,0.0062869886
5.2252252252,0.0032679312
5.2402402402,0.0008773987
5.2552552553,-0.0025705197
5.2702702703,-0.0087406955
5.2852852853,-0.0191831211
5.3003003003,-0.0352226804
5.3153153153,-0.0578098917
5.3303303303,-0.0873082988
5.3453453453,-0.1232175109
5.3603603604,-0.1638893832
5.3753753754,-0.2063579838
5.3903903904,-0.2464553125
5.4054054054,-0.2793023280
5.4204204204,-0.3001614862
5.4354354354,-0.3054399509
5.4504504505,-0.2935490250
5.4654654655,-0.2653526568
5.4804804805,-0.2240541208
5.4954954955,-0.1745271529
5.5105105105,-0.1222883393
5.5255255255,-0.0724200058
5.5405405405,-0.0287927845
5.5555555556,0.0062461489
5.5705705706,0.0317654483
5.5855855856,0.0479133519
5.6006006006,0.0555524859
5.6156156156,0.0559883722
5.6306306306,0.0508138658
5.6456456456,0.0418292313
5.6606606607,0.0309808249
5.6756756757,0.0202823452
5.6906906907,0.0117147014
5.7057057057,0.0071227782
5.7207207207,0.0081247111
5.7357357357,0.0160255478
5.7507507508,0.0317025383
5.7657657658,0.0554245085
5.7807807808,0.0866023724
5.7957957958,0.1235354777
5.8108108108,0.1632931273
5.8258258258,0.2019039289
5.8408408408,0.2349068050
5.8558558559,0.2581998672
5.8708708709,0.2689175226
5.8858858859,0.2660403398
5.9009009009,0.2505469342
5.9159159159,0.2250907928
5.9309309309,0.1933462122
5.9459459459,0.1592161759
5.9609609610,0.1261419098
5.9759759760,0.0966613195
5.9909909910,0.0722570672
6.0060060060,0.0534312990
6.0210210210,0.0398985292
6.0360360360,0.0307994142
6.0510510511,0.0248858466
6.0660660661,0.0206659967
6.0810810811,0.0165193230
6.0960960961,0.0107925904
6.1111111111,0.0018854795
6.1261261261,-0.0116636294
6.1411411411,-0.0310715408
6.1561561562,-0.0571540690
6.1711711712,-0.0900956054
6.1861861862,-0.1291525546
6.2012012012,-0.1723652392
6.2162162162,-0.2164177517
6.2312312312,-0.2568117498
6.2462462462,-0.2884543539
6.2612612613,-0.3065883809
6.2762762763,-0.3078448782
6.2912912913,-0.2910943969
6.3063063063,-0.2578188701
6.3213213213,-0.2118584068
6.3363363363,-0.1585874204
6.3513513514,-0.1037628935
6.3663663664,-0.0524347645
6.3813813814,-0.0082419172
6.3963963964,0.0267829913
6.4114114114,0.0520057196
6.4264264264,0.0677983974
6.4414414414,0.0751643875
6.4564564565,0.0754819972
6.4714714715,0.0703726870
6.4864864865,0.0616409074
6.5015015015,0.0512252549
6.5165165165,0.0411247805
6.5315315315,0.0332984861
6.5465465465,0.0295567359
6.5615615616,0.0314593259
6.5765765766,0.0402119718
6.5915915916,0.0565316580
6.6066066066,0.0804531073
6.6216216216,0.1110878382
6.6366366366,0.1464161784
6.6516516517,0.1832644789
6.6666666667,0.2175828378
6.6816816817,0.2450787539
6.6966966967,0.2620615366
6.7117117117,0.2662360878
6.7267267267,0.2571862479
6.7417417417,0.2364085276
6.7567567568,0.2069091485
6.7717717718,0.1725154543
6.7867867868,0.1370917540
6.8018018018,0.1038961996
6.8168168168,0.0752094803
6.8318318318,0.0522513971
6.8468468468,0.0353009792
6.8618618619,0.0239041582
6.8768768769,0.0170786836
6.8918918919,0.0134793869
6.9069069069,0.0115250818
6.9219219219,0.0095036891
6.9369369369,0.0056676017
6.9519519520,-0.0016740007
6.9669669670,-0.0140584358
6.9819819820,-0.0327511585
6.9969969970,-0.0585772974
7.0120120120,-0.0916787306
7.0270270270,-0.1312128178
7.0420420420,-0.1750735059
7.0570570571,-0.2197854193
7.0720720721,-0.2607392108
7.0870870871,-0.2928273367
7.1021021021,-0.3114027780
7.1171171171,-0.3132981351
7.1321321321,-0.2975975617
7.1471471471,-0.2659202886
7.1621621622,-0.2221136074
7.1771771772,-0.1714249331
7.1921921922,-0.1194094106
7.2072072072,-0.0709071142
7.2222222222,-0.0294006116
7.2372372372,0.0031580613
7.2522522523,0.0261545699
7.2672672673,0.0399600341
7.2822822823,0.0455955662
7.2972972973,0.0445004371
7.3123123123,0.0384012930
7.3273273273,0.0292332729
7.3423423423,0.0190640109
7.3573573574,0.0099978550
7.3723723724,0.0040668665
7.3873873874,0.0031269551
7.4024024024,0.0087637915
7.4174174174,0.0221858340
7.4324324324,0.0440648241
7.4474474474,0.0742979042
7.4624624625,0.1117213169
7.4774774775,0.1538858834
7.4924924925,0.1970729260
7.5075075075,0.2366665096
7.5225225225,0.2679082124
7.5375375375,0.2868435129
7.5525525526,0.2911668006
7.5675675676,0.2806993342
7.5825825826,0.2573677079
7.5975975976,0.2247061508
7.6126126126,0.1870544729
7.6276276276,0.1486766829
7.6426426426,0.1130693307
7.6576576577,0.0825928146
7.6726726727,0.0584263335
7.6876876877,0.0407340911
7.7027027027,0.0289110840
7.7177177177,0.0218140490
7.7327327327,0.0179431918
7.7477477477,0.0155798932
7.7627627628,0.0128979920
7.7777777778,0.0080615149
7.7927927928,-0.0006836065
7.8078078078,-0.0149133892
7.8228228228,-0.0359029566
7.8378378378,-0.0644455154
7.8528528529,-0.1005908705
7.8678678679,-0.1433269598
7.8828828829,-0.1902986165
7.8978978979,-0.2377221423
7.9129129129,-0.2806685254
7.9279279279,-0.3137642703
7.9429429429,-0.3322211240
7.9579579580,-0.3329149052
7.9729729730,-0.3151815714
7.9879879880,-0.2810609178
8.0030030030,-0.2348794458
8.0180180180,-0.1822940100
8.0330330330,-0.1290963171
8.0480480480,-0.0801858403
8.0630630631,-0.0389807590
8.0780780781,-0.0073172604
8.0930930931,0.0143126751
8.1081081081,0.0263992977
8.1231231231,0.0300953460
8.1381381381,0.0270034249
8.1531531532,0.0190538231
8.1681681682,0.0084194820
8.1831831832,-0.0025757186
8.1981981982,-0.0115691709
8.2132132132,-0.0162784220
8.2282282282,-0.0146099037
8.2432432432,-0.0047642742
8.2582582583,0.0146229123
8.2732732733,0.0442537120
8.2882882883,0.0838349133
8.3033033033,0.1317023920
8.3183183183,0.1845706804
8.3333333333,0.2376345351
8.3483483483,0.2851435080
8.3633633634,0.3214066956
8.3783783784,0.3419328333
8.3933933934,0.3443457131
8.4084084084,0.3288182992
8.4234234234,0.2979449431
8.4384384384,0.2561129815
8.4534534535,0.2085567188
8.4684684685,0.1603394787
8.4834834835,0.1155600963
8.4984984985,0.0769427500
8.5135135135,0.0458084284
8.5285285285,0.0222924662
8.5435435435,0.0056470792
8.5585585586,-0.0054820255
8.5735735736,-0.0128446529
8.5885885886,-0.0184301234
8.6036036036,-0.0243399941
8.6186186186,-0.0326684203
8.6336336336,-0.0453769459
8.6486486486,-0.0641500501
8.6636636637,-0.0902117381
8.6786786787,-0.1240820227
8.6936936937,-0.1652723822
8.7087087087,-0.2119779878
8.7237237237,-0.2608867696
8.7387387387,-0.3072866167
8.7537537538,-0.3455711021
8.7687687688,-0.3701604744
8.7837837838,-0.3766498302
8.7987987988,-0.3628828152
8.8138138138,-0.3296170422
8.8288288288,-0.2805214344
8.8438438438,-0.2214337109
8.8588588589,-0.1590819237
8.8738738739,-0.0997224411
8.8888888889,-0.0481293375
8.9039039039,-0.0071969015
8.9189189189,0.0219234618
8.9339339339,0.0393997294
8.9489489489,0.0462678005
8.9639639640,0.0441036041
8.9789789790,0.0348448241
8.9939939940,0.0207085900
9.0090090090,0.0041316347
9.0240240240,-0.0123122222
9.0390390390,-0.0260261506
9.0540540541,-0.0345001944
