# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9865213754
0.0200100050,0.9469663073
0.0300150075,0.8839194294
0.0400200100,0.8013788753
0.0500250125,0.7043006814
0.0600300150,0.5980718183
0.0700350175,0.4879957282
0.0800400200,0.3788623747
0.0900450225,0.2746492512
0.1000500250,0.1783684890
0.1100550275,0.0920467634
0.1200600300,0.0168051931
0.1300650325,-0.0470011369
0.1400700350,-0.0996224499
0.1500750375,-0.1417614994
0.1600800400,-0.1744460976
0.1700850425,-0.1989330334
0.1800900450,-0.2166412749
0.1900950475,-0.2291065812
0.2001000500,-0.2379487677
0.2101050525,-0.2448425713
0.2201100550,-0.2514866433
0.2301150575,-0.2595633686
0.2401200600,-0.2706968568
0.2501250625,-0.2863994658
0.2601300650,-0.3080114575
0.2701350675,-0.3366324006
0.2801400700,-0.3730425303
0.2901450725,-0.4176130093
0.3001500750,-0.4702065839
0.3101550775,-0.5300748808
0.3201600800,-0.5957653406
0.3301650825,-0.6650578219
0.3401700850,-0.7349567769
0.3501750875,-0.8017654778
0.3601800900,-0.8612631422
0.3701850925,-0.9089917266
0.3801900950,-0.9406384063
0.3901950975,-0.9524759923
0.4002001001,-0.9418025573
0.4102051026,-0.9073096779
0.4202101051,-0.8493109280
0.4302151076,-0.7697804831
0.4402201101,-0.6721837146
0.4502251126,-0.5611208726
0.4602301151,-0.4418416764
0.4702351176,-0.3197127697
0.4802401201,-0.1997246809
0.4902451226,-0.0861093731
0.5002501251,0.0178906904
0.5102551276,0.1100958989
0.5202601301,0.1893291113
0.5302651326,0.2552637742
0.5402701351,0.3082279414
0.5502751376,0.3490058921
0.5602801401,0.3786670572
0.5702851426,0.3984380241
0.5802901451,0.4096207068
0.5902951476,0.4135505869
0.6003001501,0.4115834302
0.6103051526,0.4050971103
0.6203101551,0.3954961431
0.6303151576,0.3842097716
0.6403201601,0.3726787602
0.6503251626,0.3623253083
0.6603301651,0.3545186290
