# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9865014328
0.0200100050,0.9468839302
0.0300150075,0.8837270803
0.0400200100,0.8010242188
0.0500250125,0.7037290477
0.0600300150,0.5972301266
0.0700350175,0.4868366091
0.0800400200,0.3773472577
0.0900450225,0.2727498368
0.1000500250,0.1760663616
0.1100550275,0.0893317196
0.1200600300,0.0136730310
0.1300650325,-0.0505507957
0.1400700350,-0.1035878113
0.1500750375,-0.1461395368
0.1600800400,-0.1792326881
0.1700850425,-0.2041223111
0.1800900450,-0.2222250296
0.1900950475,-0.2350730982
0.2001000500,-0.2442821307
0.2101050525,-0.2515222184
0.2201100550,-0.2584868554
0.2301150575,-0.2668538103
0.2401200600,-0.2782400786
0.2501250625,-0.2941517730
0.2601300650,-0.3159218548
0.2701350675,-0.3446409223
0.2801400700,-0.3810779984
0.2901450725,-0.4255903545
0.3001500750,-0.4780244262
0.3101550775,-0.5376139063
0.3201600800,-0.6028881959
0.3301650825,-0.6716113997
0.3401700850,-0.7407774042
0.3501750875,-0.8066871976
0.3601800900,-0.8651286350
0.3701850925,-0.9116646689
0.3801900950,-0.9420155627
0.3901950975,-0.9524971663
0.4002001001,-0.9404568441
0.4102051026,-0.9046371742
0.4202101051,-0.8453999317
0.4302151076,-0.7647609390
0.4402201101,-0.6662180118
0.4502251126,-0.5543931036
0.4602301151,-0.4345463057
0.4702351176,-0.3120435192
0.4802401201,-0.1918644014
0.4902451226,-0.0782216934
0.5002501251,0.0256673727
0.5102551276,0.1176515897
0.5202601301,0.1965824203
0.5302651326,0.2621597378
0.5402701351,0.3147339194
0.5502751376,0.3551064299
0.5602801401,0.3843583424
0.5702851426,0.4037226211
0.5802901451,0.4145029926
0.5902951476,0.4180331014
0.6003001501,0.4156643470
0.6103051526,0.4087686282
0.6203101551,0.3987438061
0.6303151576,0.3870126021
0.6403201601,0.3750097048
0.6503251626,0.3641511119
0.6603301651,0.3558016549
0.6703351676,0.3512254590
0.6803401701,0.3515343504
0.6903451726,0.3576335048
0.7003501751,0.3701647747
0.7103551776,0.3894477254
0.7203601801,0.4154185297
0.7303651826,0.4475691839
0.7403701851,0.4848936483
0.7503751876,0.5258527806
0.7603801901,0.5683734781
0.7703851926,0.6099007548
0.7803901951,0.6475171989
0.7903951976,0.6781368225
0.8004002001,0.6987656104
0.8104052026,0.7068036148
0.8204102051,0.7003470818
0.8304152076,0.6784395260
0.8404202101,0.6412227817
0.8504252126,0.5899542728
0.8604302151,0.5268822593
0.8704352176,0.4549997809
0.8804402201,0.3777210302
0.8904452226,0.2985382825
0.9004502251,0.2207116925
0.9104552276,0.1470340860
0.9204602301,0.0796902203
0.9304652326,0.0202101370
0.9404702351,-0.0305002020
0.9504752376,-0.0720763815
0.9604802401,-0.1045885274
0.9704852426,-0.1284330220
0.9804902451,-0.1442395165
0.9904952476,-0.1528012459
1.0005002501,-0.1550294174
1.0105052526,-0.1519276190
1.0205102551,-0.1445788621
1.0305152576,-0.1341374693
1.0405202601,-0.1218193253
1.0505252626,-0.1088863653
1.0605302651,-0.0966239162
1.0705352676,-0.0863130309
1.0805402701,-0.0791981424
1.0905452726,-0.0764558514
1.1005502751,-0.0791621468
1.1105552776,-0.0882582964
1.1205602801,-0.1045112618
1.1305652826,-0.1284658484
1.1405702851,-0.1603816209
1.1505752876,-0.2001575191
1.1605802901,-0.2472480446
1.1705852926,-0.3005835682
1.1805902951,-0.3585142411
1.1905952976,-0.4188009681
1.2006003002,-0.4786760664
1.2106053027,-0.5349880276
1.2206103052,-0.5844298085
1.2306153077,-0.6238306141
1.2406203102,-0.6504743900
1.2506253127,-0.6623947977
1.2606303152,-0.6585983304
1.2706353177,-0.6391766920
1.2806403202,-0.6052909037
1.2906453227,-0.5590309361
1.3006503252,-0.5031774280
1.3106553277,-0.4409051704
1.3206603302,-0.3754756675
1.3306653327,-0.3099616485
1.3406703352,-0.2470353326
1.3506753377,-0.1888369998
1.3606803402,-0.1369231645
1.3706853427,-0.0922805062
1.3806903452,-0.0553851022
1.3906953477,-0.0262843243
1.4007003502,-0.0046825975
1.4107053527,0.0099822561
1.4207103552,0.0184769673
1.4307153577,0.0217252464
1.4407203602,0.0207735014
1.4507253627,0.0167613397
1.4607303652,0.0108939576
1.4707353677,0.0044157466
1.4807403702,-0.0014203748
1.4907453727,-0.0053834715
1.5007503752,-0.0062933381
1.5107553777,-0.0030489575
1.5207603802,0.0053456089
1.5307653827,0.0197521078
1.5407703852,0.0408629946
1.5507753877,0.0691589202
1.5607803902,0.1048483261
1.5707853927,0.1477979579
1.5807903952,0.1974536427
1.5907953977,0.2527675768
1.6008004002,0.3121491153
1.6108054027,0.3734606454
1.6208104052,0.4340781520
1.6308154077,0.4910284373
1.6408204102,0.5412018682
1.6508254127,0.5816225611
1.6608304152,0.6097429820
1.6708354177,0.6237195520
1.6808404202,0.6226238470
1.6908454227,0.6065536964
1.7008504252,0.5766225691
1.7108554277,0.5348293557
1.7208604302,0.4838306559
1.7308654327,0.4266546982
1.7408704352,0.3664029149
1.7508754377,0.3059844078
1.7608804402,0.2479136871
1.7708854427,0.1941877986
