# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9864930289
0.0200100050,0.9468492101
0.0300150075,0.8836459940
0.0400200100,0.8008746859
0.0500250125,0.7034880099
0.0600300150,0.5968750572
0.0700350175,0.4863475663
0.0800400200,0.3767080710
0.0900450225,0.2719486054
0.1000500250,0.1750953244
0.1100550275,0.0881866117
0.1200600300,0.0123521481
0.1300650325,-0.0520475390
0.1400700350,-0.1052595512
0.1500750375,-0.1479849499
0.1600800400,-0.1812498995
0.1700850425,-0.2063091311
0.1800900450,-0.2245782459
0.1900950475,-0.2375879880
0.2001000500,-0.2469522077
0.2101050525,-0.2543390927
0.2201100550,-0.2614399683
0.2301150575,-0.2699311583
0.2401200600,-0.2814265201
0.2501250625,-0.2974283585
0.2601300650,-0.3192666924
0.2701350675,-0.3480284188
0.2801400700,-0.3844775924
0.2901450725,-0.4289656954
0.3001500750,-0.4813325859
0.3101550775,-0.5408043799
0.3201600800,-0.6059028339
0.3301650825,-0.6743853881
0.3401700850,-0.7432414442
0.3501750875,-0.8087710044
0.3601800900,-0.8667655600
0.3701850925,-0.9127969292
0.3801900950,-0.9425993564
0.3901950975,-0.9525068883
0.4002001001,-0.9398877312
0.4102051026,-0.9035060489
0.4202101051,-0.8437440357
0.4302151076,-0.7626351689
0.4402201101,-0.6636910260
0.4502251126,-0.5515427785
0.4602301151,-0.4314549494
0.4702351176,-0.3087931595
0.4802401201,-0.1885323644
0.4902451226,-0.0748772958
0.5002501251,0.0289655514
0.5102551276,0.1208567975
0.5202601301,0.1996601324
0.5302651326,0.2650866914
0.5402701351,0.3174964430
0.5502751376,0.3576980449
0.5602801401,0.3867774956
0.5702851426,0.4059703079
0.5802901451,0.4165810296
0.5902951476,0.4199427342
0.6003001501,0.4174049757
0.6103051526,0.4103371257
0.6203101551,0.4001342943
0.6303151576,0.3882165770
0.6403201601,0.3760157307
0.6503251626,0.3649456909
0.6603301651,0.3563686530
0.6703351676,0.3515474590
0.6803401701,0.3515933476
0.6903451726,0.3574116991
0.7003501751,0.3696460218
0.7103551776,0.3886191387
0.7203601801,0.4142724031
0.7303651826,0.4461054897
0.7403701851,0.4831227880
0.7503751876,0.5237981272
0.7603801901,0.5660738810
0.7703851926,0.6074118278
0.7803901951,0.6449115927
0.7903951976,0.6755027284
0.8004002001,0.6962034790
0.8104052026,0.7044210515
