# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9866024046
0.0200100050,0.9473010041
0.0300150075,0.8847009255
0.0400200100,0.8028197923
0.0500250125,0.7066231208
0.0600300150,0.6014914309
0.0700350175,0.4927049894
0.0800400200,0.3850179294
0.0900450225,0.2823661784
0.1000500250,0.1877217147
0.1100550275,0.1030777395
0.1200600300,0.0295311007
0.1300650325,-0.0325785224
0.1400700350,-0.0835101312
0.1500750375,-0.1239717358
0.1600800400,-0.1549959445
0.1700850425,-0.1778463629
0.1800900450,-0.1939520981
0.1900950475,-0.2048628618
0.2001000500,-0.2122156146
0.2101050525,-0.2177044939
0.2201100550,-0.2230487507
0.2301150575,-0.2299530036
0.2401200600,-0.2400646275
0.2501250625,-0.2549214112
0.2601300650,-0.2758935486
0.2701350675,-0.3041174574
0.2801400700,-0.3404193113
0.2901450725,-0.3852266114
0.3001500750,-0.4384683210
0.3101550775,-0.4994690009
0.3201600800,-0.5668493375
0.3301650825,-0.6384532477
0.3401700850,-0.7113280558
0.3501750875,-0.7817861889
0.3601800900,-0.8455716863
0.3701850925,-0.8981411210
0.3801900950,-0.9350471520
0.3901950975,-0.9523876539
0.4002001001,-0.9472604178
0.4102051026,-0.9181498870
0.4202101051,-0.8651739881
0.4302151076,-0.7901380070
0.4402201101,-0.6963759283
0.4502251126,-0.5884003098
0.4602301151,-0.4714191957
0.4702351176,-0.3508026009
0.4802401201,-0.2315853991
0.4902451226,-0.1180777116
0.5002501251,-0.0136242205
0.5102551276,0.0794806159
0.5202601301,0.1599437656
0.5302651326,0.2273318045
0.5402701351,0.2818824282
0.5502751376,0.3243105401
0.5602801401,0.3556386138
0.5702851426,0.3770675122
0.5802901451,0.3898918652
0.5902951476,0.3954544564
0.6003001501,0.3951288186
0.6103051526,0.3903170484
0.6203101551,0.3824508286
0.6303151576,0.3729866244
0.6403201601,0.3633902404
0.6503251626,0.3551066462
0.6603301651,0.3495223356
0.6703351676,0.3479163569
0.6803401701,0.3514070217
0.6903451726,0.3608948599
0.7003501751,0.3770023887
0.7103551776,0.4000104937
0.7203601801,0.4297921074
0.7303651826,0.4657465786
0.7403701851,0.5067427114
0.7503751876,0.5510835320
0.7603801901,0.5965102574
0.7703851926,0.6402642953
0.7803901951,0.6792225514
0.7903951976,0.7101116149
0.8004002001,0.7297910094
0.8104052026,0.7355772518
0.8204102051,0.7255636759
0.8304152076,0.6988815666
0.8404202101,0.6558508965
0.8504252126,0.5979855637
0.8604302151,0.5278452811
0.8704352176,0.4487576191
0.8804402201,0.3644594522
0.8904452226,0.2787203526
0.9004502251,0.1950080627
0.9104552276,0.1162402772
0.9204602301,0.0446437147
0.9304652326,-0.0182819062
0.9404702351,-0.0717153143
0.9504752376,-0.1154105000
0.9604802401,-0.1495697501
0.9704852426,-0.1747188207
0.9804902451,-0.1916017648
0.9904952476,-0.2011037650
1.0005002501,-0.2042022825
1.0105052526,-0.2019413868
1.0205102551,-0.1954210215
1.0305152576,-0.1857924500
1.0405202601,-0.1742525507
1.0505252626,-0.1620322387
1.0605302651,-0.1503775056
1.0705352676,-0.1405220238
1.0805402701,-0.1336577553
1.0905452726,-0.1309012535
1.1005502751,-0.1332596116
1.1105552776,-0.1415945984
1.1205602801,-0.1565825542
1.1305652826,-0.1786665794
1.1405702851,-0.2079984461
1.1505752876,-0.2443706671
1.1605802901,-0.2871440736
1.1705852926,-0.3351824984
1.1805902951,-0.3868121689
1.1905952976,-0.4398269760
1.2006003002,-0.4915593609
1.2106053027,-0.5390290023
1.2206103052,-0.5791674326
1.2306153077,-0.6090990013
1.2406203102,-0.6264412331
1.2506253127,-0.6295769276
1.2606303152,-0.6178502084
1.2706353177,-0.5916501809
1.2806403202,-0.5523667547
1.2906453227,-0.5022272185
1.3006503252,-0.4440438918
1.3106553277,-0.3809168993
1.3206603302,-0.3159394444
1.3306653327,-0.2519464667
1.3406703352,-0.1913337432
1.3506753377,-0.1359574797
1.3606803402,-0.0871091999
1.3706853427,-0.0455491812
1.3806903452,-0.0115767531
1.3906953477,0.0148841602
1.4007003502,0.0342014139
1.4107053527,0.0469633026
1.4207103552,0.0539238553
1.4307153577,0.0559637058
1.4407203602,0.0540622835
1.4507253627,0.0492759480
1.4607303652,0.0427172954
1.4707353677,0.0355326808
1.4807403702,0.0288771894
1.4907453727,0.0238872193
1.5007503752,0.0216536331
1.5107553777,0.0231952680
1.5207603802,0.0294333588
1.5307653827,0.0411647285
1.5407703852,0.0590302308
1.5507753877,0.0834742966
1.5607803902,0.1146927817
1.5707853927,0.1525693081
1.5807903952,0.1966049728
1.5907953977,0.2458521822
1.6008004002,0.2988687645
1.6108054027,0.3537118232
1.6208104052,0.4079895093
1.6308154077,0.4589828627
1.6408204102,0.5038380617
