# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9866510232
0.0200100050,0.9475018253
0.0300150075,0.8851698276
0.0400200100,0.8036843516
0.0500250125,0.7080166064
0.0600300150,0.6035432340
0.0700350175,0.4955305871
0.0800400200,0.3887113106
0.0900450225,0.2869964064
0.1000500250,0.1933337782
0.1100550275,0.1096965926
0.1200600300,0.0371671748
0.1300650325,-0.0239239889
0.1400700350,-0.0738411105
0.1500750375,-0.1132952999
0.1600800400,-0.1433220150
0.1700850425,-0.1651889145
0.1800900450,-0.1803312031
0.1900950475,-0.1903069404
0.2001000500,-0.1967633797
0.2101050525,-0.2014063433
0.2201100550,-0.2059675409
0.2301150575,-0.2121648658
0.2401200600,-0.2216594526
0.2501250625,-0.2360043205
0.2601300650,-0.2565875273
0.2701350675,-0.2845673864
0.2801400700,-0.3207973549
0.2901450725,-0.3657383769
0.3001500750,-0.4193587047
0.3101550775,-0.4810261402
0.3201600800,-0.5494047585
0.3301650825,-0.6223763697
0.3401700850,-0.6970136062
0.3501750875,-0.7696342428
0.3601800900,-0.8359615801
0.3701850925,-0.8914020573
0.3801900950,-0.9314295883
0.3901950975,-0.9520398652
0.4002001001,-0.9502137717
0.4102051026,-0.9243145999
0.4202101051,-0.8743451109
0.4302151076,-0.8020098733
0.4402201101,-0.7105627039
0.4502251126,-0.6044604266
0.4602301151,-0.4888818217
0.4702351176,-0.3691944431
0.4802401201,-0.2504559433
0.4902451226,-0.1370207867
0.5002501251,-0.0322939355
0.5102551276,0.0613610764
0.5202601301,0.1425806098
0.5302651326,0.2108656327
0.5402701351,0.2663981536
0.5502751376,0.3098500853
0.5602801401,0.3422145663
0.5702851426,0.3646761571
0.5802901451,0.3785243717
0.5902951476,0.3851056705
0.6003001501,0.3858034360
0.6103051526,0.3820333341
0.6203101551,0.3752421857
0.6303151576,0.3669014360
0.6403201601,0.3584904101
0.6503251626,0.3514653948
0.6603301651,0.3472210398
0.6703351676,0.3470408949
0.6803401701,0.3520432322
0.6903451726,0.3631227854
0.7003501751,0.3808889018
0.7103551776,0.4055999829
0.7203601801,0.4370951830
0.7303651826,0.4747272771
0.7403701851,0.5173052005
0.7503751876,0.5630599629
0.7603801901,0.6096517630
0.7703851926,0.6542371954
0.7803901951,0.6936113242
0.7903951976,0.7244293814
0.8004002001,0.7434973364
0.8104052026,0.7481023440
0.8204102051,0.7363376554
0.8304152076,0.7073673544
0.8404202101,0.6615788690
0.8504252126,0.6005871530
0.8604302151,0.5270815908
0.8704352176,0.4445382111
0.8804402201,0.3568469603
0.8904452226,0.2679187913
0.9004502251,0.1813358345
0.9104552276,0.1000923060
0.9204602301,0.0264493018
0.9304652326,-0.0380989377
0.9404702351,-0.0927687612
0.9504752376,-0.1373731964
0.9604802401,-0.1721838442
0.9704852426,-0.1977961850
0.9804902451,-0.2150168792
0.9904952476,-0.2247818290
1.0005002501,-0.2281050527
1.0105052526,-0.2260527374
1.0205102551,-0.2197336273
1.0305152576,-0.2102964663
1.0405202601,-0.1989266906
1.0505252626,-0.1868372063
1.0605302651,-0.1752514844
1.0705352676,-0.1653777370
1.0805402701,-0.1583803652
1.0905452726,-0.1553466535
1.1005502751,-0.1572527501
1.1105552776,-0.1649278926
1.1205602801,-0.1790148522
1.1305652826,-0.1999236008
1.1405702851,-0.2277758801
1.1505752876,-0.2623409982
1.1605802901,-0.3029678196
1.1705852926,-0.3485237068
1.1805902951,-0.3973568334
1.1905952976,-0.4473020249
1.2006003002,-0.4957495313
1.2106053027,-0.5397895028
1.2206103052,-0.5764320595
1.2306153077,-0.6028850407
1.2406203102,-0.6168536112
1.2506253127,-0.6168134679
1.2606303152,-0.6022072397
1.2706353177,-0.5735246517
1.2806403202,-0.5322492588
1.2906453227,-0.4806815067
1.3006503252,-0.4216722979
1.3106553277,-0.3583160919
1.3206603302,-0.2936544695
1.3306653327,-0.2304318172
1.3406703352,-0.1709281214
1.3506753377,-0.1168748720
1.3606803402,-0.0694450627
1.3706853427,-0.0292979230
1.3806903452,0.0033444381
1.3906953477,0.0286096111
1.4007003502,0.0468926874
1.4107053527,0.0587885167
1.4207103552,0.0650414932
1.4307153577,0.0665110649
1.4407203602,0.0641483073
1.4507253627,0.0589779993
1.4607303652,0.0520814102
1.4707353677,0.0445768209
1.4807403702,0.0375970926
1.4907453727,0.0322638150
1.5007503752,0.0296624638
1.5107553777,0.0308166859
1.5207603802,0.0366632056
1.5307653827,0.0480248997
1.5407703852,0.0655783417
1.5507753877,0.0898114705
1.5607803902,0.1209680430
1.5707853927,0.1589785945
1.5807903952,0.2033826818
1.5907953977,0.2532535450
1.6008004002,0.3071426123
1.6108054027,0.3630654253
1.6208104052,0.4185502575
1.6308154077,0.4707640758
1.6408204102,0.5167172918
1.6508254127,0.5535309766
1.6608304152,0.5787322656
1.6708354177,0.5905313952
1.6808404202,0.5880317565
1.6908454227,0.5713346972
1.7008504252,0.5415205427
1.7108554277,0.5005114901
1.7208604302,0.4508439536
1.7308654327,0.3953917528
1.7408704352,0.3370855253
1.7508754377,0.2786678428
1.7608804402,0.2225106347
1.7708854427,0.1705061747
1.7808904452,0.1240283216
1.7908954477,0.0839500431
1.8009004502,0.0506980235
1.8109054527,0.0243248692
1.8209104552,0.0045829995
1.8309154577,-0.0090101162
