# Generated by QuTiP: 700x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0286123033,0.8803378825
0.0572246066,0.5758378697
0.0858369099,0.2115567546
0.1144492132,-0.1017379990
0.1430615165,-0.3170327632
0.1716738197,-0.4384820446
0.2002861230,-0.4912855341
0.2288984263,-0.5067255590
0.2575107296,-0.5176096626
0.2861230329,-0.5512507282
0.3147353362,-0.6175328793
0.3433476395,-0.6984098914
0.3719599428,-0.7472749905
0.4005722461,-0.7095479457
0.4291845494,-0.5632970114
0.4577968526,-0.3458105434
0.4864091559,-0.1299846925
0.5150214592,0.0257215052
0.5436337625,0.1009137625
0.5722460658,0.1037606400
0.6008583691,0.0557780553
0.6294706724,-0.0145017691
0.6580829757,-0.0743606456
0.6866952790,-0.0922282621
0.7153075823,-0.0437347883
0.7439198856,0.0812801954
0.7725321888,0.2657447472
0.8011444921,0.4552241896
0.8297567954,0.5770672128
0.8583690987,0.5858099363
0.8869814020,0.4902945642
0.9155937053,0.3413531389
0.9442060086,0.1966741002
0.9728183119,0.0904185478
1.0014306152,0.0274563568
1.0300429185,-0.0054047338
1.0586552217,-0.0280352894
1.0872675250,-0.0606501431
1.1158798283,-0.1201445588
1.1444921316,-0.2155928509
1.1731044349,-0.3397984535
1.2017167382,-0.4600826097
1.2303290415,-0.5236409738
1.2589413448,-0.4881041758
1.2875536481,-0.3553033567
1.3161659514,-0.1730702060
1.3447782546,-0.0023744469
1.3733905579,0.1180110913
1.4020028612,0.1800353367
1.4306151645,0.1938850580
1.4592274678,0.1764345598
1.4878397711,0.1474840703
1.5164520744,0.1277501059
1.5450643777,0.1347145000
1.5736766810,0.1772102616
1.6022889843,0.2492031523
1.6309012876,0.3253577154
1.6595135908,0.3682378737
1.6881258941,0.3504901173
1.7167381974,0.2741594185
1.7453505007,0.1683528310
1.7739628040,0.0687190016
1.8025751073,-0.0023623343
1.8311874106,-0.0405222316
1.8597997139,-0.0532587585
1.8884120172,-0.0536860009
1.9170243205,-0.0570819891
1.9456366237,-0.0779756306
1.9742489270,-0.1262711588
2.0028612303,-0.2015915654
2.0314735336,-0.2868033925
2.0600858369,-0.3486483736
2.0886981402,-0.3541592990
2.1173104435,-0.2935168188
2.1459227468,-0.1883855932
2.1745350501,-0.0778832674
2.2031473534,0.0056935177
2.2317596567,0.0500045782
2.2603719599,0.0587919201
2.2889842632,0.0435933721
2.3175965665,0.0192718898
2.3462088698,0.0015823411
2.3748211731,0.0045386968
2.4034334764,0.0378545235
2.4320457797,0.1031407372
2.4606580830,0.1875905964
2.4892703863,0.2621820851
2.5178826896,0.2951099730
2.5464949928,0.2730632779
2.5751072961,0.2090888362
2.6037195994,0.1310417553
2.6323319027,0.0631844526
2.6609442060,0.0161094777
2.6895565093,-0.0116149713
2.7181688126,-0.0277390474
2.7467811159,-0.0423845464
2.7753934192,-0.0658242782
2.8040057225,-0.1060672788
2.8326180258,-0.1647442627
2.8612303290,-0.2315246448
2.8898426323,-0.2822953277
2.9184549356,-0.2891001737
2.9470672389,-0.2392543092
2.9756795422,-0.1472929116
3.0042918455,-0.0467249161
3.0329041488,0.0320410006
3.0615164521,0.0760844080
3.0901287554,0.0874336232
3.1187410587,0.0748990636
3.1473533619,0.0499258589
3.1759656652,0.0252728015
3.2045779685,0.0131907835
3.2331902718,0.0231779362
3.2618025751,0.0595539208
3.2904148784,0.1172462107
3.3190271817,0.1782457079
3.3476394850,0.2173518932
3.3762517883,0.2178706996
3.4048640916,0.1824220703
3.4334763948,0.1289373746
3.4620886981,0.0775517898
3.4907010014,0.0400101908
3.5193133047,0.0178684920
3.5479256080,0.0060510808
3.5765379113,-0.0035243839
3.6051502146,-0.0196241357
3.6337625179,-0.0498377181
3.6623748212,-0.0978951004
3.6909871245,-0.1591695517
3.7195994278,-0.2168603206
3.7482117310,-0.2462546968
3.7768240343,-0.2294374722
3.8054363376,-0.1692286317
3.8340486409,-0.0888144491
3.8626609442,-0.0163722757
3.8912732475,0.0309266474
3.9198855508,0.0500827223
3.9484978541,0.0465563015
3.9771101574,0.0295090716
4.0057224607,0.0098940579
4.0343347639,-0.0011520750
4.0629470672,0.0057792197
4.0915593705,0.0364422941
4.1201716738,0.0894438532
4.1487839771,0.1516284573
4.1773962804,0.1997010023
4.2060085837,0.2131413097
4.2346208870,0.1881554807
4.2632331903,0.1387339793
4.2918454936,0.0852951495
4.3204577969,0.0423067779
4.3490701001,0.0141130238
4.3776824034,-0.0023147503
4.4062947067,-0.0136122868
4.4349070100,-0.0276946453
4.4635193133,-0.0520879918
4.4921316166,-0.0915840879
4.5207439199,-0.1443201903
4.5493562232,-0.1977215368
4.5779685265,-0.2301194937
4.6065808298,-0.2221868565
4.6351931330,-0.1713891215
4.6638054363,-0.0961370915
4.6924177396,-0.0239308962
4.7210300429,0.0257610403
4.7496423462,0.0476561176
4.7782546495,0.0459064717
4.8068669528,0.0287725904
4.8354792561,0.0064664416
4.8640915594,-0.0102232526
4.8927038627,-0.0116870660
4.9213161660,0.0089713306
4.9499284692,0.0534159673
4.9785407725,0.1133185301
5.0071530758,0.1686596386
5.0357653791,0.1970390383
5.0643776824,0.1887051374
5.0929899857,0.1519192245
5.1216022890,0.1049106309
5.1502145923,0.0635656890
5.1788268956,0.0348064031
5.2074391989,0.0174795572
5.2360515021,0.0059740829
5.2646638054,-0.0069775516
5.2932761087,-0.0285496898
5.3218884120,-0.0640500119
5.3505007153,-0.1138103997
5.3791130186,-0.1688520394
5.4077253219,-0.2099112341
5.4363376252,-0.2159677691
5.4649499285,-0.1789536385
5.4935622318,-0.1115129604
5.5221745351,-0.0392057451
5.5507868383,0.0161335388
5.5793991416,0.0458268931
5.6080114449,0.0517753871
5.6366237482,0.0407877875
5.6652360515,0.0218358819
5.6938483548,0.0048884675
5.7224606581,-0.0006284484
5.7510729614,0.0125763297
5.7796852647,0.0476403138
5.8082975680,0.0995925423
5.8369098712,0.1523360986
5.8655221745,0.1843291491
5.8941344778,0.1822920316
5.9227467811,0.1497746398
5.9513590844,0.1027946518
5.9799713877,0.0581940769
6.0085836910,0.0251977702
6.0371959943,0.0046967895
6.0658082976,-0.0075371372
6.0944206009,-0.0180668899
6.1230329041,-0.0341004594
6.1516452074,-0.0617992355
6.1802575107,-0.1034882699
6.2088698140,-0.1536041850
6.2374821173,-0.1965105424
6.2660944206,-0.2119833706
6.2947067239,-0.1880062856
6.3233190272,-0.1308209317
6.3519313305,-0.0623062654
6.3805436338,-0.0056158794
6.4091559371,0.0271481943
6.4377682403,0.0354913523
6.4663805436,0.0252247675
6.4949928469,0.0049906107
6.5236051502,-0.0152211481
6.5522174535,-0.0256334819
6.5808297568,-0.0181510076
6.6094420601,0.0122793161
6.6380543634,0.0642983451
6.6666666667,0.1254052463
6.6952789700,0.1737272811
6.7238912732,0.1907235447
6.7525035765,0.1736515352
6.7811158798,0.1352220787
6.8097281831,0.0929423606
6.8383404864,0.0587620382
6.8669527897,0.0359112184
6.8955650930,0.0213200582
6.9241773963,0.0089206724
6.9527896996,-0.0082004457
6.9814020029,-0.0363708908
7.0100143062,-0.0792785448
7.0386266094,-0.1341005484
7.0672389127,-0.1875071267
7.0958512160,-0.2178476066
7.1244635193,-0.2071766956
7.1530758226,-0.1551376393
7.1816881259,-0.0813762586
7.2103004292,-0.0125099234
7.2389127325,0.0339332015
7.2675250358,0.0539120917
7.2961373391,0.0517781313
7.3247496423,0.0355267338
7.3533619456,0.0150027606
7.3819742489,0.0005408776
7.4105865522,0.0011603421
7.4391988555,0.0229178210
7.4678111588,0.0662833133
7.4964234621,0.1219806757
7.5250357654,0.1706998292
7.5536480687,0.1926944318
7.5822603720,0.1810814074
7.6108726753,0.1456295888
7.6394849785,0.1042136576
7.6680972818,0.0710482626
7.6967095851,0.0512885120
7.7253218884,0.0424265858
7.7539341917,0.0376545404
7.7825464950,0.0285270425
7.8111587983,0.0067508769
7.8397711016,-0.0341340275
7.8683834049,-0.0954044483
7.8969957082,-0.1675048881
7.9256080114,-0.2276250770
7.9542203147,-0.2490900721
7.9828326180,-0.2193673941
8.0114449213,-0.1501968748
8.0400572246,-0.0694225983
8.0686695279,-0.0024145421
8.0972818312,0.0392146558
8.1258941345,0.0559357144
8.1545064378,0.0545021702
8.1831187411,0.0446594717
8.2117310443,0.0374720090
8.2403433476,0.0431987548
8.2689556509,0.0686549108
8.2975679542,0.1139350817
8.3261802575,0.1687625503
8.3547925608,0.2127848351
8.3834048641,0.2247025565
8.4120171674,0.1965760565
8.4406294707,0.1410457351
8.4692417740,0.0825187173
8.4978540773,0.0405082830
8.5264663805,0.0217448569
8.5550786838,0.0228272793
8.5836909871,0.0348753018
8.6123032904,0.0464891248
8.6409155937,0.0458715101
8.6695278970,0.0225435565
8.6981402003,-0.0304440081
8.7267525036,-0.1111051144
8.7553648069,-0.2013682021
8.7839771102,-0.2693125557
8.8125894134,-0.2876072816
8.8412017167,-0.2526706417
8.8698140200,-0.1850645294
8.8984263233,-0.1134249069
8.9270386266,-0.0579930005
8.9556509299,-0.0250920017
8.9842632332,-0.0104985610
9.0128755365,-0.0043149723
9.0414878398,0.0055671475
9.0701001431,0.0307570054
9.0987124464,0.0793933241
9.1273247496,0.1514622511
9.1559370529,0.2326761449
9.1845493562,0.2936870493
9.2131616595,0.3028549775
9.2417739628,0.2476882303
9.2703862661,0.1469792911
9.2989985694,0.0389920099
9.3276108727,-0.0448315543
9.3562231760,-0.0933162872
9.3848354793,-0.1100516911
9.4134477825,-0.1044765284
9.4420600858,-0.0883146867
9.4706723891,-0.0746170711
9.4992846924,-0.0758275588
9.5278969957,-0.1006690054
9.5565092990,-0.1498804658
9.5851216023,-0.2111965573
9.6137339056,-0.2598905875
9.6423462089,-0.2719868839
9.6709585122,-0.2415696445
9.6995708155,-0.1840880948
9.7281831187,-0.1241974346
9.7567954220,-0.0812652776
9.7854077253,-0.0626365619
9.8140200286,-0.0647091467
9.8426323319,-0.0766709467
9.8712446352,-0.0844251338
9.8998569385,-0.0743068820
9.9284692418,-0.0358021024
9.9570815451,0.0354999887
9.9856938484,0.1317981629
10.0143061516,0.2276530638
10.0429184549,0.2875557791
10.0715307582,0.2877560436
10.1001430615,0.2325601278
10.1287553648,0.1495897846
10.1573676681,0.0697723649
10.1859799714,0.0107477066
10.2145922747,-0.0248904701
10.2432045780,-0.0428945291
10.2718168813,-0.0519750891
10.3004291845,-0.0616754115
10.3290414878,-0.0810849857
10.3576537911,-0.1164423250
10.3862660944,-0.1669292512
10.4148783977,-0.2201152669
10.4434907010,-0.2530535159
10.4721030043,-0.2445477841
10.5007153076,-0.1914562644
10.5293276109,-0.1128082762
10.5579399142,-0.0366993723
10.5865522175,0.0168279479
10.6151645207,0.0418501768
10.6437768240,0.0423149799
10.6723891273,0.0270149573
10.7010014306,0.0072155858
10.7296137339,-0.0052238892
10.7582260372,-0.0001842298
10.7868383405,0.0284981585
10.8154506438,0.0798603127
10.8440629471,0.1416163893
10.8726752504,0.1912280239
10.9012875536,0.2078573622
10.9298998569,0.1864863693
10.9585121602,0.1400942072
10.9871244635,0.0891526888
11.0157367668,0.0490603404
11.0443490701,0.0250572798
11.0729613734,0.0144704786
11.1015736767,0.0105618612
11.1301859800,0.0051426963
11.1587982833,-0.0097251052
11.1874105866,-0.0400724851
11.2160228898,-0.0872787310
11.2446351931,-0.1438461672
11.2732474964,-0.1917301388
11.3018597997,-0.2098180508
11.3304721030,-0.1881252691
11.3590844063,-0.1357764666
11.3876967096,-0.0747381528
11.4163090129,-0.0252893653
11.4449213162,0.0032438384
11.4735336195,0.0115552946
11.5021459227,0.0057803701
11.5307582260,-0.0054708960
11.5593705293,-0.0128250100
11.5879828326,-0.0077126288
11.6165951359,0.0161810911
11.6452074392,0.0604733728
11.6738197425,0.1175649397
11.7024320458,0.1685107590
11.7310443491,0.1911924417
11.7596566524,0.1752206461
11.7882689557,0.1286127952
11.8168812589,0.0706440052
11.8454935622,0.0189974636
11.8741058655,-0.0178034305
11.9027181688,-0.0395478084
11.9313304721,-0.0504843007
11.9599427754,-0.0569367003
11.9885550787,-0.0660490454
12.0171673820,-0.0839476062
12.0457796853,-0.1128351773
12.0743919886,-0.1478894358
12.1030042918,-0.1766147814
12.1316165951,-0.1838380899
12.1602288984,-0.1611717000
12.1888412017,-0.1145283110
12.2174535050,-0.0618887283
12.2460658083,-0.0212040184
12.2746781116,-0.0009157931
12.3032904149,-0.0003442982
12.3319027182,-0.0139002962
12.3605150215,-0.0335871384
12.3891273247,-0.0503860989
12.4177396280,-0.0557445869
12.4463519313,-0.0425963310
12.4749642346,-0.0065908588
12.5035765379,0.0498622910
12.5321888412,0.1125408366
12.5608011445,0.1587947252
12.5894134478,0.1718841394
12.6180257511,0.1516517524
12.6466380544,0.1117012595
12.6752503577,0.0689051045
12.7038626609,0.0342753451
12.7324749642,0.0106162213
12.7610872675,-0.0047054022
12.7896995708,-0.0165711236
12.8183118741,-0.0303316776
12.8469241774,-0.0506689279
12.8755364807,-0.0799133560
12.9041487840,-0.1153975708
12.9327610873,-0.1474384119
12.9613733906,-0.1616897527
12.9899856938,-0.1475526705
13.0185979971,-0.1073443471
13.0472103004,-0.0565575857
13.0758226037,-0.0130689558
13.1044349070,0.0132390074
13.1330472103,0.0214487831
13.1616595136,0.0155349466
13.1902718169,0.0016173768
13.2188841202,-0.0130112469
13.2474964235,-0.0208795602
13.2761087268,-0.0155247127
13.3047210300,0.0072901405
13.3333333333,0.0469224563
13.3619456366,0.0940253244
13.3905579399,0.1313548741
13.4191702432,0.1432217914
13.4477825465,0.1258593201
13.4763948498,0.0889435239
13.5050071531,0.0479480805
13.5336194564,0.0145099407
13.5622317597,-0.0073760520
13.5908440629,-0.0193457689
13.6194563662,-0.0257412659
13.6480686695,-0.0319698874
13.6766809728,-0.0433942260
13.7052932761,-0.0637811937
13.7339055794,-0.0929987385
13.7625178827,-0.1246958818
13.7911301860,-0.1467420237
13.8197424893,-0.1470165978
13.8483547926,-0.1221113167
13.8769670959,-0.0813406921
13.9055793991,-0.0407139207
13.9341917024,-0.0124882954
13.9628040057,-0.0006792250
13.9914163090,-0.0032002014
14.0200286123,-0.0148126731
14.0486409156,-0.0286550043
14.0772532189,-0.0374435223
14.1058655222,-0.0346546920
14.1344778255,-0.0153620207
14.1630901288,0.0219301095
14.1917024320,0.0713007313
14.2203147353,0.1174748222
14.2489270386,0.1425987001
14.2775393419,0.1380613339
14.3061516452,0.1094506361
14.3347639485,0.0709468279
14.3633762518,0.0355612160
14.3919885551,0.0094942705
14.4206008584,-0.0072267559
14.4492131617,-0.0178304866
14.4778254649,-0.0268249745
14.5064377682,-0.0389516902
14.5350500715,-0.0579490978
14.5636623748,-0.0845126785
14.5922746781,-0.1139659254
14.6208869814,-0.1359404569
14.6494992847,-0.1386892995
14.6781115880,-0.1170450106
14.7067238913,-0.0780553632
14.7353361946,-0.0372293055
14.7639484979,-0.0078166266
14.7925608011,0.0052715176
14.8211731044,0.0036407909
14.8497854077,-0.0080350930
14.8783977110,-0.0236202272
14.9070100143,-0.0363840247
14.9356223176,-0.0399961896
14.9642346209,-0.0291735959
14.9928469242,-0.0007314125
15.0214592275,0.0430333695
15.0500715308,0.0906297505
15.0786838340,0.1245481187
15.1072961373,0.1321712580
15.1359084406,0.1136872269
15.1645207439,0.0801613520
15.1931330472,0.0451313166
15.2217453505,0.0171555308
15.2503576538,-0.0017732735
15.2789699571,-0.0138910974
15.3075822604,-0.0233106207
15.3361945637,-0.0347013274
15.3648068670,-0.0521426089
15.3934191702,-0.0773361656
15.4220314735,-0.1072462112
15.4506437768,-0.1329276341
15.4792560801,-0.1423975551
15.5078683834,-0.1278112993
15.5364806867,-0.0924301448
15.5650929900,-0.0501506603
15.5937052933,-0.0160504701
15.6223175966,0.0020935421
15.6509298999,0.0041056411
15.6795422031,-0.0060262281
15.7081545064,-0.0222652388
15.7367668097,-0.0375017009
15.7653791130,-0.0446651409
15.7939914163,-0.0376129949
15.8226037196,-0.0119725028
15.8512160229,0.0320030149
15.8798283262,0.0849408872
15.9084406295,0.1289460071
15.9370529328,0.1475182764
15.9656652361,0.1361823940
15.9942775393,0.1038665801
16.0228898426,0.0653198429
16.0515021459,0.0318248281
16.0801144492,0.0074600728
16.1087267525,-0.0091072083
16.1373390558,-0.0217838287
16.1659513591,-0.0353767682
16.1945636624,-0.0544687753
16.2231759657,-0.0816766666
16.2517882690,-0.1149662397
16.2804005722,-0.1455956402
16.3090128755,-0.1600712595
16.3376251788,-0.1474499382
16.3662374821,-0.1080676156
16.3948497854,-0.0559936334
16.4234620887,-0.0101138045
16.4520743920,0.0178075869
16.4806866953,0.0259458014
16.5092989986,0.0181754730
16.5379113019,0.0006372705
16.5665236052,-0.0193746252
16.5951359084,-0.0342876169
16.6237482117,-0.0372753811
16.6523605150,-0.0228604575
16.6809728183,0.0114405004
16.7095851216,0.0608729374
16.7381974249,0.1108970687
16.7668097282,0.1436010718
16.7954220315,0.1494225389
16.8240343348,0.1320935844
16.8526466381,0.1038211227
16.8812589413,0.0766113413
16.9098712446,0.0564959437
16.9384835479,0.0431327918
16.9670958512,0.0322671656
16.9957081545,0.0182050298
17.0243204578,-0.0045965428
17.0529327611,-0.0401970464
17.0815450644,-0.0886010456
17.1101573677,-0.1417459478
17.1387696710,-0.1821849457
17.1673819742,-0.1901613886
17.1959942775,-0.1572355769
17.2246065808,-0.0948664708
17.2532188841,-0.0273379648
17.2818311874,0.0250942130
17.3104434907,0.0550492684
17.3390557940,0.0646465095
17.3676680973,0.0597522194
17.3962804006,0.0476126861
