# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9865051713
0.0200100050,0.9468993732
0.0300150075,0.8837631403
0.0400200100,0.8010907086
0.0500250125,0.7038362184
0.0600300150,0.5973879311
0.0700350175,0.4870539251
0.0800400200,0.3776313163
0.0900450225,0.2731059459
0.1000500250,0.1764979722
0.1100550275,0.0898407418
0.1200600300,0.0142602447
0.1300650325,-0.0498853353
0.1400700350,-0.1028444465
0.1500750375,-0.1453188365
0.1600800400,-0.1783354130
0.1700850425,-0.2031495543
0.1800900450,-0.2211783271
0.1900950475,-0.2339546207
0.2001000500,-0.2430948302
0.2101050525,-0.2502699066
0.2201100550,-0.2571743061
0.2301150575,-0.2654865494
0.2401200600,-0.2768251465
0.2501250625,-0.2926974148
0.2601300650,-0.3144376965
0.2701350675,-0.3431383057
0.2801400700,-0.3795702867
0.2901450725,-0.4240935143
0.3001500750,-0.4765574859
0.3101550775,-0.5361992657
0.3201600800,-0.6015516245
0.3301650825,-0.6703816285
0.3401700850,-0.7396851488
0.3501750875,-0.8057636027
0.3601800900,-0.8644032265
0.3701850925,-0.9111630350
0.3801900950,-0.9417570841
0.3901950975,-0.9524931503
0.4002001001,-0.9407093505
0.4102051026,-0.9051386928
0.4202101051,-0.8461339059
0.4302151076,-0.7657029943
0.4402201101,-0.6673376824
0.4502251126,-0.5556558479
0.4602301151,-0.4359156325
0.4702351176,-0.3134830751
0.4802401201,-0.1933398725
0.4902451226,-0.0797023615
0.5002501251,0.0242074867
0.5102551276,0.1162331242
0.5202601301,0.1952206510
0.5302651326,0.2608649532
0.5402701351,0.3135122632
0.5502751376,0.3539607943
0.5602801401,0.3832894357
0.5702851426,0.4027299545
0.5802901451,0.4135857434
0.5902951476,0.4171908125
0.6003001501,0.4148973488
0.6103051526,0.4080783581
0.6203101551,0.3981329396
0.6303151576,0.3864850098
0.6403201601,0.3745704298
0.6503251626,0.3638063638
0.6603301651,0.3555585309
0.6703351676,0.3510915974
0.6803401701,0.3515176500
0.6903451726,0.3577416871
0.7003501751,0.3704048418
0.7103551776,0.3898252591
0.7203601801,0.4159367844
0.7303651826,0.4482279767
0.7403701851,0.4856881888
0.7503751876,0.5267724670
0.7603801901,0.5694008872
0.7703851926,0.6110109840
0.7803901951,0.6486777947
0.7903951976,0.6793084479
0.8004002001,0.6999035368
0.8104052026,0.7078600092
0.8204102051,0.7012739393
0.8304152076,0.6791919780
0.8404202101,0.6417624106
0.8504252126,0.5902520097
0.8604302151,0.5269204539
0.8704352176,0.4547730992
0.8804402201,0.3772361443
0.8904452226,0.2978122017
0.9004502251,0.2197692405
