# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9865398963
0.0200100050,0.9470428088
0.0300150075,0.8840980542
0.0400200100,0.8017082212
0.0500250125,0.7048315144
0.0600300150,0.5988534304
0.0700350175,0.4890721139
0.0800400200,0.3802693384
0.0900450225,0.2764130960
0.1000500250,0.1805063392
0.1100550275,0.0945680746
0.1200600300,0.0197139014
0.1300650325,-0.0437046291
0.1400700350,-0.0959397520
0.1500750375,-0.1376954279
0.1600800400,-0.1700005339
0.1700850425,-0.1941134365
0.1800900450,-0.2114553773
0.1900950475,-0.2235653287
0.2001000500,-0.2320670330
0.2101050525,-0.2386396401
0.2201100550,-0.2449865051
0.2301150575,-0.2527950341
0.2401200600,-0.2636948261
0.2501250625,-0.2792040107
0.2601300650,-0.3006696655
0.2701350675,-0.3291997848
0.2801400700,-0.3655851255
0.2901450725,-0.4102097159
0.3001500750,-0.4629514323
0.3101550775,-0.5230785751
0.3201600800,-0.5891553107
0.3301650825,-0.6589761580
0.3401700850,-0.7295553750
0.3501750875,-0.7971983371
0.3601800900,-0.8576762378
0.3701850925,-0.9065115416
0.3801900950,-0.9393607080
0.3901950975,-0.9524565951
0.4002001001,-0.9430515256
0.4102051026,-0.9097897474
0.4202101051,-0.8529401061
0.4302151076,-0.7744381369
0.4402201101,-0.6777191172
0.4502251126,-0.5673631727
0.4602301151,-0.4486104098
0.4702351176,-0.3268281693
0.4802401201,-0.2070170725
0.4902451226,-0.0934269454
0.5002501251,0.0106763532
0.5102551276,0.1030868977
0.5202601301,0.1826009778
0.5302651326,0.2488675239
0.5402701351,0.3021938381
0.5502751376,0.3433482958
0.5602801401,0.3733895397
0.5702851426,0.3935382358
0.5802901451,0.4050946168
0.5902951476,0.4093958354
0.6003001501,0.4078017306
0.6103051526,0.4016957385
0.6203101551,0.3924886302
0.6303151576,0.3816158665
0.6403201601,0.3705238775
0.6503251626,0.3606402941
0.6603301651,0.3533382549
0.6703351676,0.3498875388
0.6803401701,0.3514024480
0.6903451726,0.3587863588
0.7003501751,0.3726737434
0.7103551776,0.3933694413
0.7203601801,0.4207855650
0.7303651826,0.4543789277
0.7403701851,0.4930960281
0.7503751876,0.5353379224
0.7603801901,0.5789613552
0.7703851926,0.6213344694
0.7803901951,0.6594622783
0.7903951976,0.6901881313
0.8004002001,0.7104627399
0.8104052026,0.7176544612
0.8204102051,0.7098580395
0.8304152076,0.6861495288
0.8404202101,0.6467373816
0.8504252126,0.5929754132
0.8604302151,0.5272294958
0.8704352176,0.4526195608
0.8804402201,0.3726830517
0.8904452226,0.2910185941
0.9004502251,0.2109665710
0.9104552276,0.1353685879
0.9204602301,0.0664264286
0.9304652326,0.0056592816
0.9404702351,-0.0460588382
0.9504752376,-0.0884086416
0.9604802401,-0.1215108485
0.9704852426,-0.1458115902
0.9804902451,-0.1619846364
0.9904952476,-0.1708587602
1.0005002501,-0.1733709230
1.0105052526,-0.1705405975
1.0205102551,-0.1634576427
1.0305152576,-0.1532755293
1.0405202601,-0.1412030754
1.0505252626,-0.1284904318
1.0605302651,-0.1164080910
1.0705352676,-0.1062186051
1.0805402701,-0.0991465206
1.0905452726,-0.0963454919
1.1005502751,-0.0988652930
1.1105552776,-0.1076172350
1.1205602801,-0.1233348231
1.1305652826,-0.1465254464
1.1405702851,-0.1774100199
1.1505752876,-0.2158503461
1.1605802901,-0.2612695441
1.1705852926,-0.3125776247
1.1805902951,-0.3681208196
1.1905952976,-0.4256773136
1.2006003002,-0.4825209656
1.2106053027,-0.5355667518
1.2206103052,-0.5815971113
1.2306153077,-0.6175497163
1.2406203102,-0.6408293479
1.2506253127,-0.6495953739
1.2606303152,-0.6429756597
1.2706353177,-0.6211691884
1.2806403202,-0.5854197299
1.2906453227,-0.5378667039
1.3006503252,-0.4813008760
1.3106553277,-0.4188670781
1.3206603302,-0.3537611360
1.3306653327,-0.2889634209
1.3406703352,-0.2270390793
1.3506753377,-0.1700186886
1.3606803402,-0.1193568104
1.3706853427,-0.0759536065
1.3806903452,-0.0402181959
1.3906953477,-0.0121517824
1.4007003502,0.0085676451
1.4107053527,0.0225108669
1.4207103552,0.0304384230
1.4307153577,0.0332567424
1.4407203602,0.0319856518
1.4507253627,0.0277321518
1.4607303652,0.0216658581
1.4707353677,0.0149932622
1.4807403702,0.0089301188
1.4907453727,0.0046719432
1.5007503752,0.0033661434
1.5107553777,0.0060846203
1.5207603802,0.0137975168
1.5307653827,0.0273453932
1.5407703852,0.0474058406
1.5507753877,0.0744500406
1.5607803902,0.1086861284
1.5707853927,0.1499900597
1.5807903952,0.1978286437
1.5907953977,0.2511880148
1.6008004002,0.3085242804
1.6108054027,0.3677577280
1.6208104052,0.4263301428
1.6308154077,0.4813376093
1.6408204102,0.5297381682
1.6508254127,0.5686174753
1.6608304152,0.5954797140
1.6708354177,0.6085204225
1.6808404202,0.6068359662
1.6908454227,0.5905324771
1.7008504252,0.5607140637
1.7108554277,0.5193519334
1.7208604302,0.4690577393
1.7308654327,0.4128006566
1.7408704352,0.3536146608
1.7508754377,0.2943390353
1.7608804402,0.2374229704
1.7708854427,0.1848083974
1.7808904452,0.1378887061
1.7908954477,0.0975286347
1.8009004502,0.0641243780
1.8109054527,0.0376826644
1.8209104552,0.0179015032
1.8309154577,0.0042415102
1.8409204602,-0.0040170368
1.8509254627,-0.0077310943
