# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9865294777
0.0200100050,0.9469997743
0.0300150075,0.8839975740
0.0400200100,0.8015229597
0.0500250125,0.7045329154
0.0600300150,0.5984137671
0.0700350175,0.4884666393
0.0800400200,0.3794779126
0.0900450225,0.2754209235
0.1000500250,0.1793037873
0.1100550275,0.0931498123
0.1200600300,0.0180777243
0.1300650325,-0.0455589475
0.1400700350,-0.0980113087
0.1500750375,-0.1399826376
0.1600800400,-0.1725012126
0.1700850425,-0.1968245258
0.1800900450,-0.2143725074
0.1900950475,-0.2266823388
0.2001000500,-0.2353755557
0.2101050525,-0.2421288202
0.2201100550,-0.2486428386
0.2301150575,-0.2566021801
0.2401200600,-0.2676333971
0.2501250625,-0.2832513633
0.2601300650,-0.3047993150
0.2701350675,-0.3333805073
0.2801400700,-0.3697797903
0.2901450725,-0.4143739474
0.3001500750,-0.4670323395
0.3101550775,-0.5270138909
0.3201600800,-0.5928733479
0.3301650825,-0.6623969935
0.3401700850,-0.7325935701
0.3501750875,-0.7997672700
0.3601800900,-0.8596938004
0.3701850925,-0.9079065900
0.3801900950,-0.9400793761
0.3901950975,-0.9524674905
0.4002001001,-0.9423489901
0.4102051026,-0.9083947440
0.4202101051,-0.8508987554
0.4302151076,-0.7718182949
0.4402201101,-0.6746055679
0.4502251126,-0.5638520176
0.4602301151,-0.4448031568
0.4702351176,-0.3228259343
0.4802401201,-0.2029152940
0.4902451226,-0.0893110141
0.5002501251,0.0147342064
0.5102551276,0.1070292431
0.5202601301,0.1863853321
0.5302651326,0.2524651939
0.5402701351,0.3055877953
0.5502751376,0.3465304632
0.5602801401,0.3763579075
0.5702851426,0.3962941243
0.5802901451,0.4076402917
0.5902951476,0.4117326220
0.6003001501,0.4099286623
0.6103051526,0.4036087212
0.6203101551,0.3941800526
0.6303151576,0.3830746115
0.6403201601,0.3717356260
0.6503251626,0.3615877069
0.6603301651,0.3540017802
0.6703351676,0.3502460837
0.6803401701,0.3514342605
0.6903451726,0.3584701728
0.7003501751,0.3719902983
0.7103551776,0.3923034765
0.7203601801,0.4193283418
0.7303651826,0.4525312116
0.7403701851,0.4908714912
0.7503751876,0.5327663840
0.7603801901,0.5760916526
0.7703851926,0.6182362555
0.7803901951,0.6562262089
0.7903951976,0.6869239893
0.8004002001,0.7072952612
0.8104052026,0.7147169460
0.8204102051,0.7072841726
0.8304152076,0.6840641557
0.8404202101,0.6452472795
0.8504252126,0.5921612293
0.8604302151,0.5271400073
0.8704352176,0.4532691349
